Date,Tweets,Location,Sentiment Polarity
2019-03-05 16:26:27,b sheth He is high on weed Must be finding ways xe2 x80 xa6,b'India',0.16
2019-03-05 16:26:25,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'New Delhi, India'",0.5
2019-03-05 16:26:22,b RT Today s issue thuglak IN tells the high committee that started a party in India wants to joi xe2 x80 xa6,"b'Queens, NY'",0.18
2019-03-05 16:26:22,b RT Well we remember you saying you don xe2 x80 x99t endorse hate politics but now that your own party leader has openly c xe2 x80 xa6,b'INDIA',-0.0666666666666667
2019-03-05 16:26:20,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,"b'Lucknow, India'",0.275
2019-03-05 16:26:14,b RT harsha In the fight on number of casualties and others have forgotten that the IAF has executed a task no oth xe2 x80 xa6,"b'Greater Noida, India'",0.0
2019-03-05 16:26:13,b My vote will go to any party that says it will ban RSS and bajrangdal in India as a measure against terrorist or xe2 x80 xa6,b'India',0.0
2019-03-05 16:26:12,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'Mumbai',0.5
2019-03-05 16:26:11,b RT Shocking statement from CONgress leader Belur Gopalakrishna he calls out to assassinate PM n nTo appease a pa xe2 x80 xa6,"b'\xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\xb5, \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4'",-1.0
2019-03-05 16:26:11,b RT Lets keep up the good work with honesty and dedication A day will come soon when people w xe2 x80 xa6,b'Amravati',0.7
2019-03-05 16:26:10,b RT Btwn are you with India or pakistan,"b'Vijapur, India'",0.0
2019-03-05 16:26:04,b Anil Vij is also good choice Hooda is good but it is sure now that BJP is winning ha xe2 x80 xa6,"b'New Delhi, Delhi'",0.6
2019-03-05 16:26:02,b RT Sir you don t even understand What is NCC and you are talking about Business By Dalitspeak Da xe2 x80 xa6,"b'Mhow, India'",0.0
2019-03-05 16:26:01,b harsha Can xe2 x80 x99t understand this Is this deliberate All parties been saying repeatedly that xe2 x80 xa6,b'India',0.0
2019-03-05 16:25:57,b RT While the paid arm chair warriors of the Congress are busy trending anti Modi hashtags on Twitter the empty chairs at xe2 x80 xa6,"b'Kolkata, India'",0.0
2019-03-05 16:25:56,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress;,b'New Delhi',0.075
2019-03-05 16:25:56,b sacchaursahi OPPN THE GREATEST BUFFOONS IS FOR SURE TO LOOSE 2019 amp IN HELP xe2 x80 xa6,b'Mumbai',0.4743589743589744
2019-03-05 16:25:54,b It xe2 x80 x99s like Russel Peters on a world tour xf0 x9f x98 x82,b'New Delhi/ Bangalore',0.0
2019-03-05 16:25:51,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 India',0.5
2019-03-05 16:25:45,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'India',0.275
2019-03-05 16:25:44,b BJP He must be arrested and jailed,b'BANGALORE',0.0
2019-03-05 16:25:44,b RT Don xe2 x80 x99t worry n RahulGandhi you have invented Vada Pav to Sona Machine nYou will convert all Vada pav in mumbai to gold wit xe2 x80 xa6,b'',0.0
2019-03-05 16:25:43,b India s most irritating person list top 2 btm ranking n Kejriwal n NavjotSinghSidhu n MamtaBanerjee n RahulGandhi xe2 x80 xa6,"b'Mumbai, India'",0.19999999999999998
2019-03-05 16:25:42,b RT 5000 RTs on this tweet and will ask for proof amp number of casualities in these 3 surgical strikes from xe2 x80 xa6,b'',0.0
2019-03-05 16:25:42,b is not a political party but an Insurance company with as CEO n nThey have taken Ins xe2 x80 xa6,b'Jaipur',0.0
2019-03-05 16:25:40,b Dear Pappu nDon t you know SC has given clean chit on Rafale deal n nLet me give you more names n1 yo xe2 x80 xa6,b'Mumbai',0.43333333333333335
2019-03-05 16:25:39,b Death Wishes of Opposition Parties all together hell bent on going Dustbin of India History just 60 xe2 x80 xa6,b'West Africa',0.0
2019-03-05 16:25:35,b If Arvind kejriwal would have thought not to enter into politics and sup xe2 x80 xa6,"b'New Delhi, India'",0.0
2019-03-05 16:25:29,b RT harsha In the fight on number of casualties and others have forgotten that the IAF has executed a task no oth xe2 x80 xa6,b'India',0.0
2019-03-05 16:25:27,b RT 5000 RTs on this tweet and will ask for proof amp number of casualities in these 3 surgical strikes from xe2 x80 xa6,b'Mumbai',0.0
2019-03-05 16:25:25,b Check So ur goes on foreign trip from his pocket or Indira Rajiv Sonia xe2 x80 xa6,"b'New Delhi, Delhi'",-0.125
2019-03-05 16:25:19,b RT Memorable moment when Congress President himself clicked selfie with us yesterday in Mumbai xe2 x80 xa6,b'',0.5
2019-03-05 16:25:18,b RT Well we remember you saying you don xe2 x80 x99t endorse hate politics but now that your own party leader has openly c xe2 x80 xa6,b'\xe0\xa4\x9c\xe0\xa5\x88 \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x82\xe0\xa4\xa6 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa5\x87\xe0\xa4\xa8\xe0\xa4\xbe\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xe0\xa4\xb5\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa4\xe0\xa4\xb0\xe0\xa4\xae\xe0\xa5\x8d',-0.0666666666666667
2019-03-05 16:25:16,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'Varanasi, India'",0.5
2019-03-05 16:25:13,b ji 12000 farmer suicides have been reported in Maharashtra in 2015 18 You are helping xe2 x80 xa6,b'New Delhi',0.0
2019-03-05 16:25:12,b Sorry but hw long will continue to pass benign remarks chide gently ve reas expectns of this current xe2 x80 xa6,"b'New Delhi, India'",-0.08750000000000001
2019-03-05 16:25:12,b I am sorry for you today Ji can be your political enemy but many of the leaders of th xe2 x80 xa6,b'',0.0
2019-03-05 16:25:10,b RT Congress President welcomes Ferozepur MP Shri Sher Singh Ghubaya to the Congress party We wish him all the best xe2 x80 xa6,"b'Maharashtra, India'",1.0
2019-03-05 16:25:09,b Lets keep up the good work with honesty and dedication A day will come soon when peop xe2 x80 xa6,b'Amravati',0.7
2019-03-05 16:25:08,b RT harsha In the fight on number of casualties and others have forgotten that the IAF has executed a task no oth xe2 x80 xa6,b'Bengaluru (Bangalore)',0.0
2019-03-05 16:25:05,b is not a political party but an Insurance company with as CEO n nThey have taken Insurance for xe2 x80 xa6,b'Jaipur',0.0
2019-03-05 16:25:04,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,"b'New Delhi, Delhi'",0.275
